2015-02-18 12:50:26 status half-configured libc6:armhf 2.19-10ubuntu2
2015-02-18 12:50:27 status unpacked libc6:armhf 2.19-10ubuntu2
2015-02-18 12:50:27 status half-installed libc6:armhf 2.19-10ubuntu2
2015-02-18 12:50:42 status half-installed libc6:armhf 2.19-10ubuntu2
2015-02-18 12:50:42 status unpacked libc6:armhf 2.19-10ubuntu2
2015-02-18 12:50:42 status unpacked libc6:armhf 2.19-10ubuntu2
2015-02-18 12:50:44 install libcap2:armhf <none> 1:2.24-0ubuntu2
2015-02-18 12:50:44 status half-installed libcap2:armhf 1:2.24-0ubuntu2
2015-02-18 12:50:45 status unpacked libcap2:armhf 1:2.24-0ubuntu2
2015-02-18 12:50:45 status unpacked libcap2:armhf 1:2.24-0ubuntu2
2015-02-18 12:50:46 install libcgmanager0:armhf <none> 0.32-4ubuntu1
2015-02-18 12:50:46 status half-installed libcgmanager0:armhf 0.32-4ubuntu1
2015-02-18 12:50:47 status unpacked libcgmanager0:armhf 0.32-4ubuntu1
2015-02-18 12:50:47 status unpacked libcgmanager0:armhf 0.32-4ubuntu1
2015-02-18 12:50:49 install libcomerr2:armhf <none> 1.42.10-1.1ubuntu1
2015-02-18 12:50:49 status half-installed libcomerr2:armhf 1.42.10-1.1ubuntu1
2015-02-18 12:50:50 status unpacked libcomerr2:armhf 1.42.10-1.1ubuntu1
2015-02-18 12:50:50 status unpacked libcomerr2:armhf 1.42.10-1.1ubuntu1
2015-02-18 12:50:51 install libdb5.3:armhf <none> 5.3.28-5
2015-02-18 12:50:51 status half-installed libdb5.3:armhf 5.3.28-5
2015-02-18 12:50:55 status unpacked libdb5.3:armhf 5.3.28-5
2015-02-18 12:50:55 status unpacked libdb5.3:armhf 5.3.28-5
2015-02-18 12:50:57 install libdbus-1-3:armhf <none> 1.8.8-1ubuntu2
2015-02-18 12:50:57 status half-installed libdbus-1-3:armhf 1.8.8-1ubuntu2
2015-02-18 12:50:58 status unpacked libdbus-1-3:armhf 1.8.8-1ubuntu2
2015-02-18 12:50:58 status unpacked libdbus-1-3:armhf 1.8.8-1ubuntu2
2015-02-18 12:51:00 install libdebconfclient0:armhf <none> 0.191ubuntu1
2015-02-18 12:51:00 status half-installed libdebconfclient0:armhf 0.191ubuntu1
2015-02-18 12:51:01 status unpacked libdebconfclient0:armhf 0.191ubuntu1
2015-02-18 12:51:01 status unpacked libdebconfclient0:armhf 0.191ubuntu1
2015-02-18 12:51:02 install libdrm2:armhf <none> 2.4.56-1
2015-02-18 12:51:02 status half-installed libdrm2:armhf 2.4.56-1
2015-02-18 12:51:03 status unpacked libdrm2:armhf 2.4.56-1
2015-02-18 12:51:03 status unpacked libdrm2:armhf 2.4.56-1
2015-02-18 12:51:04 install libgcc1:armhf <none> 1:4.9.1-16ubuntu6
2015-02-18 12:51:04 status half-installed libgcc1:armhf 1:4.9.1-16ubuntu6
2015-02-18 12:51:05 status unpacked libgcc1:armhf 1:4.9.1-16ubuntu6
2015-02-18 12:51:06 status unpacked libgcc1:armhf 1:4.9.1-16ubuntu6
2015-02-18 12:51:07 install libgcrypt11:armhf <none> 1.5.4-2ubuntu1
2015-02-18 12:51:07 status half-installed libgcrypt11:armhf 1.5.4-2ubuntu1
2015-02-18 12:51:09 status unpacked libgcrypt11:armhf 1.5.4-2ubuntu1
2015-02-18 12:51:09 status unpacked libgcrypt11:armhf 1.5.4-2ubuntu1
2015-02-18 12:51:11 install libgdbm3:armhf <none> 1.8.3-13
2015-02-18 12:51:11 status half-installed libgdbm3:armhf 1.8.3-13
2015-02-18 12:51:11 status unpacked libgdbm3:armhf 1.8.3-13
